Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
1982,I,Amazona barbadensis,Aves,Psittaciformes,Psittacidae,Amazona,DE,NL,AN,1,,live,,,I
1982,I,Amazona barbadensis,Aves,Psittaciformes,Psittacidae,Amazona,DE,NL,VE,1,,live,,Z,
1982,I,Amazona barbadensis,Aves,Psittaciformes,Psittacidae,Amazona,US,VE,,12,,live,,P,
1982,I,Amazona barbadensis,Aves,Psittaciformes,Psittacidae,Amazona,US,VE,,4,,live,,,I
1983,I,Amazona barbadensis,Aves,Psittaciformes,Psittacidae,Amazona,IT,JP,BR,1,1,live,,P,
1983,I,Amazona barbadensis,Aves,Psittaciformes,Psittacidae,Amazona,US,VE,,3,,live,,P,
1983,I,Amazona barbadensis,Aves,Psittaciformes,Psittacidae,Amazona,US,VE,,4,,live,,,I
1983,I,Amazona barbadensis,Aves,Psittaciformes,Psittacidae,Amazona,US,VE,,2,,live,,,
1984,I,Amazona barbadensis,Aves,Psittaciformes,Psittacidae,Amazona,CH,ES,,2,,live,,P,C
1984,I,Amazona barbadensis,Aves,Psittaciformes,Psittacidae,Amazona,NL,AN,,2,,live,,,I
1984,I,Amazona barbadensis,Aves,Psittaciformes,Psittacidae,Amazona,US,AN,,1,,live,,,I
1985,I,Amazona barbadensis,Aves,Psittaciformes,Psittacidae,Amazona,NL,AN,,1,,live,,,C
1985,I,Amazona barbadensis,Aves,Psittaciformes,Psittacidae,Amazona,NL,AW,,1,,live,,,C
1985,I,Amazona barbadensis,Aves,Psittaciformes,Psittacidae,Amazona,SE,LK,,1,,live,,P,
1985,I,Amazona barbadensis,Aves,Psittaciformes,Psittacidae,Amazona,US,CA,PT,1,,live,,,I
1985,I,Amazona barbadensis,Aves,Psittaciformes,Psittacidae,Amazona,US,VE,,3,,live,,,I
1986,I,Amazona barbadensis,Aves,Psittaciformes,Psittacidae,Amazona,AN,SR,BB,,1,live,,P,
1986,I,Amazona barbadensis,Aves,Psittaciformes,Psittacidae,Amazona,NL,CO,,10,,live,,,I
1986,I,Amazona barbadensis,Aves,Psittaciformes,Psittacidae,Amazona,US,AN,,1,,live,,,C
1986,I,Amazona barbadensis,Aves,Psittaciformes,Psittacidae,Amazona,US,VE,,2,,live,,,I
1987,I,Amazona barbadensis,Aves,Psittaciformes,Psittacidae,Amazona,DD,DE,XX,,1,live,,P,
1987,I,Amazona barbadensis,Aves,Psittaciformes,Psittacidae,Amazona,DO,ES,,1,,live,,P,
1987,I,Amazona barbadensis,Aves,Psittaciformes,Psittacidae,Amazona,GB,ES,,,1,live,,T,
1987,I,Amazona barbadensis,Aves,Psittaciformes,Psittacidae,Amazona,US,CO,,1,,live,,,I
1988,I,Amazona barbadensis,Aves,Psittaciformes,Psittacidae,Amazona,CA,US,,,2,live,,T,C
1988,I,Amazona barbadensis,Aves,Psittaciformes,Psittacidae,Amazona,GB,US,,2,,live,,T,C
1988,I,Amazona barbadensis,Aves,Psittaciformes,Psittacidae,Amazona,US,SG,VE,,1,live,,P,
1988,I,Amazona barbadensis,Aves,Psittaciformes,Psittacidae,Amazona,US,SG,VE,1,,live,,,
1989,I,Amazona barbadensis,Aves,Psittaciformes,Psittacidae,Amazona,US,AN,,5,,live,,,I
1989,I,Amazona barbadensis,Aves,Psittaciformes,Psittacidae,Amazona,US,VE,,1,,live,,,I
1990,I,Amazona barbadensis,Aves,Psittaciformes,Psittacidae,Amazona,GB,US,,2,2,live,,T,C
1990,I,Amazona barbadensis,Aves,Psittaciformes,Psittacidae,Amazona,US,AN,,2,,live,,,I
1990,I,Amazona barbadensis,Aves,Psittaciformes,Psittacidae,Amazona,ZA,US,,2,,live,,N,
1990,I,Amazona barbadensis,Aves,Psittaciformes,Psittacidae,Amazona,ZA,US,,,2,live,,T,C
1991,I,Amazona barbadensis,Aves,Psittaciformes,Psittacidae,Amazona,US,AW,XX,3,,live,,,I
1991,I,Amazona barbadensis,Aves,Psittaciformes,Psittacidae,Amazona,US,JP,XX,,1,live,,P,O
1991,I,Amazona barbadensis,Aves,Psittaciformes,Psittacidae,Amazona,US,JP,XX,1,,live,,,O
1991,I,Amazona barbadensis,Aves,Psittaciformes,Psittacidae,Amazona,US,KY,,,1,live,,,
1992,I,Amazona barbadensis,Aves,Psittaciformes,Psittacidae,Amazona,CA,US,,,1,live,,,C
1992,I,Amazona barbadensis,Aves,Psittaciformes,Psittacidae,Amazona,PE,VE,,,1,live,,Z,
1992,I,Amazona barbadensis,Aves,Psittaciformes,Psittacidae,Amazona,US,AN,XX,1,,live,,,I
1993,I,Amazona barbadensis,Aves,Psittaciformes,Psittacidae,Amazona,BS,US,,1,,live,,Z,
1993,I,Amazona barbadensis,Aves,Psittaciformes,Psittacidae,Amazona,CA,US,,,1,live,,,C
1993,I,Amazona barbadensis,Aves,Psittaciformes,Psittacidae,Amazona,DO,CH,XX,,1,live,,P,O
1993,I,Amazona barbadensis,Aves,Psittaciformes,Psittacidae,Amazona,US,AN,,,1,live,,,C
1993,I,Amazona barbadensis,Aves,Psittaciformes,Psittacidae,Amazona,US,AN,,1,,live,,,I
1993,I,Amazona barbadensis,Aves,Psittaciformes,Psittacidae,Amazona,US,VE,,1,,live,,,I
1994,I,Amazona barbadensis,Aves,Psittaciformes,Psittacidae,Amazona,AW,NL,XX,,1,live,,T,O
1994,I,Amazona barbadensis,Aves,Psittaciformes,Psittacidae,Amazona,FR,US,,,1,live,,T,U
1994,I,Amazona barbadensis,Aves,Psittaciformes,Psittacidae,Amazona,GB,US,,2,,live,,B,C
1994,I,Amazona barbadensis,Aves,Psittaciformes,Psittacidae,Amazona,GB,US,,,2,live,,,C
1994,I,Amazona barbadensis,Aves,Psittaciformes,Psittacidae,Amazona,GB,ZA,CO,1,,live,,P,O
1994,I,Amazona barbadensis,Aves,Psittaciformes,Psittacidae,Amazona,PT,ZA,,,1,live,,P,C
1994,I,Amazona barbadensis,Aves,Psittaciformes,Psittacidae,Amazona,US,AN,,2,2,live,,,C
1994,I,Amazona barbadensis,Aves,Psittaciformes,Psittacidae,Amazona,US,NL,,2,,live,,T,U
1994,I,Amazona barbadensis,Aves,Psittaciformes,Psittacidae,Amazona,US,VE,,,1,live,,P,W
1994,I,Amazona barbadensis,Aves,Psittaciformes,Psittacidae,Amazona,VE,AN,VE,33,,live,,N,I
1995,I,Amazona barbadensis,Aves,Psittaciformes,Psittacidae,Amazona,PH,US,,,12,live,,T,U
1995,I,Amazona barbadensis,Aves,Psittaciformes,Psittacidae,Amazona,TH,ES,XX,,1,live,,P,U
1995,I,Amazona barbadensis,Aves,Psittaciformes,Psittacidae,Amazona,US,AN,,1,,live,,,O
1995,I,Amazona barbadensis,Aves,Psittaciformes,Psittacidae,Amazona,US,VE,,4,,live,,,I
1995,I,Amazona barbadensis,Aves,Psittaciformes,Psittacidae,Amazona,ZA,NL,,,4,live,,T,C
1996,I,Amazona barbadensis,Aves,Psittaciformes,Psittacidae,Amazona,BB,GR,,3,,live,,P,C
1996,I,Amazona barbadensis,Aves,Psittaciformes,Psittacidae,Amazona,BR,US,,6,,live,,B,F
1996,I,Amazona barbadensis,Aves,Psittaciformes,Psittacidae,Amazona,BR,US,,,6,live,,T,O
1996,I,Amazona barbadensis,Aves,Psittaciformes,Psittacidae,Amazona,GB,US,,1,,live,,B,F
1996,I,Amazona barbadensis,Aves,Psittaciformes,Psittacidae,Amazona,GB,US,,,1,live,,T,C
1996,I,Amazona barbadensis,Aves,Psittaciformes,Psittacidae,Amazona,NL,AN,,2,,live,,T,C
1996,I,Amazona barbadensis,Aves,Psittaciformes,Psittacidae,Amazona,ZA,US,,2,12,live,,T,C
1997,I,Amazona barbadensis,Aves,Psittaciformes,Psittacidae,Amazona,AN,CA,,,2,live,,B,F
1997,I,Amazona barbadensis,Aves,Psittaciformes,Psittacidae,Amazona,BR,ES,,,2,live,,T,C
1997,I,Amazona barbadensis,Aves,Psittaciformes,Psittacidae,Amazona,BR,US,,4,,live,,B,F
1997,I,Amazona barbadensis,Aves,Psittaciformes,Psittacidae,Amazona,BR,US,,,4,live,,T,C
1997,I,Amazona barbadensis,Aves,Psittaciformes,Psittacidae,Amazona,CH,NL,,,4,live,,B,C
1997,I,Amazona barbadensis,Aves,Psittaciformes,Psittacidae,Amazona,CH,NL,,6,,live,,P,C
1997,I,Amazona barbadensis,Aves,Psittaciformes,Psittacidae,Amazona,CH,NL,,,2,live,,T,C
1997,I,Amazona barbadensis,Aves,Psittaciformes,Psittacidae,Amazona,CZ,US,,20,,live,,B,F
1997,I,Amazona barbadensis,Aves,Psittaciformes,Psittacidae,Amazona,GB,US,,10,,live,,B,F
1997,I,Amazona barbadensis,Aves,Psittaciformes,Psittacidae,Amazona,GB,US,,,6,live,,T,C
1997,I,Amazona barbadensis,Aves,Psittaciformes,Psittacidae,Amazona,GB,US,,,4,live,,T,O
1997,I,Amazona barbadensis,Aves,Psittaciformes,Psittacidae,Amazona,NL,CA,,,4,live,,B,F
1997,I,Amazona barbadensis,Aves,Psittaciformes,Psittacidae,Amazona,NL,CA,,4,,live,,T,C
1997,I,Amazona barbadensis,Aves,Psittaciformes,Psittacidae,Amazona,ZA,US,,,10,live,,T,C
1998,I,Amazona barbadensis,Aves,Psittaciformes,Psittacidae,Amazona,CH,ES,,4,,live,,P,C
1998,I,Amazona barbadensis,Aves,Psittaciformes,Psittacidae,Amazona,CH,ES,,,4,live,,T,C
1998,I,Amazona barbadensis,Aves,Psittaciformes,Psittacidae,Amazona,CH,NL,,3,,live,,P,C
1998,I,Amazona barbadensis,Aves,Psittaciformes,Psittacidae,Amazona,CH,NL,,,3,live,,T,C
1998,I,Amazona barbadensis,Aves,Psittaciformes,Psittacidae,Amazona,GB,CA,,2,,live,,T,C
1998,I,Amazona barbadensis,Aves,Psittaciformes,Psittacidae,Amazona,GB,US,,1,,live,,B,F
1998,I,Amazona barbadensis,Aves,Psittaciformes,Psittacidae,Amazona,GB,US,,,1,live,,T,C
1998,I,Amazona barbadensis,Aves,Psittaciformes,Psittacidae,Amazona,NC,DE,ES,,1,live,,B,C
1998,I,Amazona barbadensis,Aves,Psittaciformes,Psittacidae,Amazona,NC,DE,ES,1,,live,,Z,C
1998,I,Amazona barbadensis,Aves,Psittaciformes,Psittacidae,Amazona,NC,DE,,,2,live,,B,C
1998,I,Amazona barbadensis,Aves,Psittaciformes,Psittacidae,Amazona,NC,DE,,2,,live,,Z,C
1998,I,Amazona barbadensis,Aves,Psittaciformes,Psittacidae,Amazona,PT,VE,,1,,live,,,I
1998,I,Amazona barbadensis,Aves,Psittaciformes,Psittacidae,Amazona,US,CA,US,1,,live,,P,F
1999,I,Amazona barbadensis,Aves,Psittaciformes,Psittacidae,Amazona,CH,DE,,4,4,live,,T,C
1999,I,Amazona barbadensis,Aves,Psittaciformes,Psittacidae,Amazona,CH,ZA,,,4,live,,B,C
1999,I,Amazona barbadensis,Aves,Psittaciformes,Psittacidae,Amazona,CH,ZA,,4,,live,,T,C
1999,I,Amazona barbadensis,Aves,Psittaciformes,Psittacidae,Amazona,DE,PH,,,1,live,,B,C
1999,I,Amazona barbadensis,Aves,Psittaciformes,Psittacidae,Amazona,DE,PH,,1,,live,,P,C
1999,I,Amazona barbadensis,Aves,Psittaciformes,Psittacidae,Amazona,DK,ES,,6,,live,,B,C
1999,I,Amazona barbadensis,Aves,Psittaciformes,Psittacidae,Amazona,GB,CA,,,5,live,,B,F
1999,I,Amazona barbadensis,Aves,Psittaciformes,Psittacidae,Amazona,NL,CA,,,4,live,,T,C
1999,I,Amazona barbadensis,Aves,Psittaciformes,Psittacidae,Amazona,NL,US,,8,,live,,B,F
1999,I,Amazona barbadensis,Aves,Psittaciformes,Psittacidae,Amazona,NL,US,,,6,live,,T,F
